id_contrato,valor_inicial,n_riesgos,prob_promedio,prob_std,imp_promedio,imp_std,val_promedio,val_std,interaccion_prob_x_impacto,anio_inicio,anio_fin,duracion,ipc_acumulado,trm_promedio,sobrecosto,tfidf_desarrollo,tfidf_insumos,tfidf_expedicion,tfidf_materiales,tfidf_obra,tfidf_ejecucion,tfidf_contrato,prop_tipo_operacional,prop_cate_bajo,tfidf_riesgo,tfidf_tecnicas,tfidf_municipio,tfidf_obras,tfidf_informacion,prop_fuen_externo,tfidf_cuando,tfidf_disenos,tfidf_ejecucion contrato,tfidf_calidad,tfidf_manejo,prop_cate_alto,tfidf_pago,prop_tipo_economico,prop_asig_entidad,tfidf_falta,svr_pred,abs_error,rmse_heuristic,bucket
C-101,13139887374,15,2.3333333333333335,0.8563488385776752,3.0952380952380953,0.8309489698388166,2.761904761904762,2.508082173788608,7.222222222222223,2020,2021,1,7.32,3718.23,49.99998005310148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,30.69998005310148,16.0,11-20
C-045,12962390280,20,2.4,0.5026246899500346,2.8,0.8944271909999159,5.3,1.3018205875255098,6.72,2020,2021,1,7.32,3718.23,16.709103454027463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.63,1.9208965459725356,16.0,11-20
C-046,12653870036,17,2.2941176470588234,0.46966821831386213,2.588235294117647,0.9393364366277243,4.882352941176471,1.4090046549415864,5.937716262975778,2020,2021,1,7.32,3718.23,14.91232028329329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.16,3.2476797167067097,16.0,11-20
C-047,12487629825,21,2.0,0.0,2.1904761904761907,0.5117663157191591,4.190476190476191,0.5117663157191593,4.380952380952381,2019,2020,1,5.47,3487.23,13.004843935626512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.29,4.285156064373487,20.0,21-30
C-048,12319627802,9,1.8888888888888888,0.7817359599705717,2.7777777777777777,1.092906420717,4.666666666666667,1.3228756555322954,5.246913580246913,2020,2021,1,7.32,3718.23,26.100222755739388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.38,8.720222755739389,12.0,1-10
C-049,12037472388,9,1.8888888888888888,0.7817359599705717,2.7777777777777777,1.092906420717,4.666666666666667,1.3228756555322954,5.246913580246913,2018,2019,1,7.1,3118.82,5.650380562268585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.42,11.769619437731418,12.0,1-10
C-050,12030041530,9,1.7777777777777777,0.4409585518440984,3.111111111111111,1.0540925533894596,4.888888888888889,0.9279607271383372,5.530864197530864,2018,2020,2,8.83,3310.33,15.99878013887455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.73,1.7312198611254512,12.0,1-10
C-052,11268479430,13,1.2307692307692308,0.5991446895152781,1.3846153846153846,0.5063696835418333,2.6153846153846154,0.9607689228305227,1.7041420118343196,2019,2019,0,3.8,3281.09,30.73848978042639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.08,13.658489780426393,16.0,11-20
C-053,11164179754,4,1.75,0.5,3.0,0.0,3.5,1.0,5.25,2019,2019,0,3.8,3281.09,27.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.17,12.389999999999999,12.0,1-10
C-054,10843782241,35,2.0285714285714285,0.9230930832457441,2.342857142857143,0.6835399701234028,3.7714285714285714,1.238730713881191,4.75265306122449,2019,2020,1,5.47,3487.23,1.9431758616776529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.58,16.636824138322346,24.0,>30
C-055,10540040851,46,2.0217391304347827,0.9306898381733988,2.9347826086956523,0.9978237188567145,4.956521739130435,1.429164818099958,5.933364839319471,2021,2022,1,19.48,3999.26,0.1500784031448911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.33,20.179921596855106,24.0,>30
C-056,10431576633,14,1.7142857142857142,0.825420305855557,3.357142857142857,0.928782731664065,5.071428571428571,1.2688144505364485,5.755102040816326,2018,2020,2,8.83,3310.33,32.06661770971433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.59,13.47661770971433,16.0,11-20
C-057,10199537266,24,1.9583333333333333,0.624093545570845,2.0,0.0,3.9583333333333335,0.6240935455708451,3.9166666666666665,2020,2022,2,21.4,3897.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.44,27.56,20.0,21-30
