fila_secop1_lite,url,entidad,municipio,departamento,tipo_documento,n_documentos,nombres_pdf
490,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21634,ANTIOQUIA - ALCALDÍA MUNICIPIO DE SAN VICENTE,San Vicente,Antioquia,SIN_DOCUMENTO,0,
491,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21233,GUAVIARE - ALCALDÍA MUNICIPIO DE SAN JOSÉ DEL GUAVIARE,San José del Guaviare,Guaviare,SIN_DOCUMENTO,0,
492,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-11-9750415,CAS - CORPORACIÓN AUTÓNOMA REGIONAL DE SANTANDER,Bucaramanga,Santander,SIN_DOCUMENTO,0,
493,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-200755,SANTANDER - ALCALDÍA MUNICIPIO DE BUCARAMANGA,Bucaramanga,Santander,SIN_DOCUMENTO,0,
494,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-11-12548092,SANTANDER - ALCALDÍA MUNICIPIO DE SAN VICENTE CHUCURÍ,San Vicente de Chucurí,Santander,ESTUDIOS_PREVIOS,0,
495,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-1-210253,RISARALDA - AEROPUERTO INTERNACIONAL MATECAÑA DE PEREIRA,Pereira,Risaralda,ESTUDIOS_PREVIOS,0,
496,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-25466,BOYACÁ - ALCALDÍA MUNICIPIO DE MIRAFLORES,Miraflores,Boyacá,ESTUDIOS_PREVIOS,0,
497,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-8397418,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,0,
498,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-203084,ANTIOQUIA - ALCALDÍA MUNICIPIO DE LA CEJA,La Ceja,Antioquia,SIN_DOCUMENTO,0,
499,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-221118,ANTIOQUIA - ALCALDÍA MUNICIPIO DE SANTUARIO,El Santuario,Antioquia,SIN_DOCUMENTO,0,
500,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-193038,ANTIOQUIA - ALCALDÍA MUNICIPIO DE ITAGÜÍ,Itagüí,Antioquia,SIN_DOCUMENTO,0,
