fila,url,entidad,municipio,departamento,tipo
1285,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-1-225817,CORPORACIÓN AUTÓNOMA REGIONAL DEL GUAVIO,Gachalá,Cundinamarca,MATRIZ_RIESGO
1291,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-204483,SANTANDER - ÁREA METROPOLITANA DE BUCARAMANGA,Bucaramanga,Santander,MATRIZ_RIESGO
1303,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-24001,ANTIOQUIA - ALCALDÍA MUNICIPIO DE SAN ROQUE,San Roque,Antioquia,MATRIZ
1309,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-1-212095,BOYACÁ - ALCALDÍA MUNICIPIO DE SANTANA,Santana,Boyacá,MATRIZ_RIESGO
1320,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-12359276,ANTIOQUIA - EMPRESA DE DESARROLLO SOSTENIBLE DEL ORIENTE EDESO - RIONEGRO,Rionegro,Antioquia,MATRIZ_RIESGO
1321,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-33480,SANTANDER - ALCALDÍA MUNICIPIO DE CONCEPCIÓN,Concepción,Santander,MATRIZ_RIESGO
1351,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-20253,SANTANDER - ALCALDÍA MUNICIPIO DE GALÁN,Galán,Santander,MATRIZ_RIESGO
1387,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-11-13419549,SANTANDER - ALCALDÍA MUNICIPIO DE GUAPOTA,Guapotá,Santander,MATRIZ_RIESGO
1389,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-19202,CASANARE - ALCALDÍA MUNICIPIO DE SABANALARGA,Sabanalarga,Casanare,MATRIZ_RIESGO
1390,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-11407,ANTIOQUIA - ALCALDÍA MUNICIPIO DE ABRIAQUI,Abriaquí,Antioquia,MATRIZ
1391,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-40091,CASANARE - ALCALDÍA MUNICIPIO DE MONTERREY,Monterrey,Casanare,MATRIZ_RIESGO
1411,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-26533,SANTANDER - ALCALDÍA MUNICIPIO DE RIONEGRO,Rionegro,Santander,MATRIZ_RIESGO
1412,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15188,BOYACÁ - ALCALDÍA MUNICIPIO DE MARIPÍ,Maripí,Boyacá,MATRIZ_RIESGO
