fila,url,entidad,municipio,departamento,tipo
1302,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21510,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE GAMA,Gama,Cundinamarca,ESTUDIOS_PREVIOS
1304,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-518,ANTIOQUIA - EMPRESA DE VIVIENDA DE ANTIOQUIA - VIVA,Medellín,Antioquia,ESTUDIOS_PREVIOS
1306,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-11907986,ANTIOQUIA - AGUAS DEL PÁRAMO S.A.S E.S.P - SONSÓN,Sonsón,Antioquia,ESTUDIOS_PREVIOS
1319,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-5826,SANTANDER - ALCALDÍA MUNICIPIO DE PIEDECUESTA,Piedecuesta,Santander,ESTUDIOS_PREVIOS
1322,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-7028,BOYACÁ - ALCALDÍA MUNICIPIO DE PAIPA,Paipa,Boyacá,ESTUDIOS_PREVIOS
1337,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-8229,SUCRE - ALCALDÍA MUNICIPIO DE SINCELEJO,Sincelejo,Sucre,ESTUDIOS_PREVIOS
1338,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-22031,BOYACÁ - ALCALDÍA MUNICIPIO DE BETEITIVA,Betéitiva,Boyacá,ESTUDIOS_PREVIOS
1340,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-1-225123,BOYACÁ - ALCALDÍA MUNICIPIO DE SAMACÁ,Samacá,Boyacá,ESTUDIOS_PREVIOS
1350,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-11-10431758,META - GOBERNACIÓN,Villavicencio,Meta,ESTUDIOS_PREVIOS
1370,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-193014,META - ALCALDÍA MUNICIPIO DE MAPIRIPÁN,Mapiripán,Meta,ESTUDIOS_PREVIOS
1371,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-5468,BOYACÁ - ALCALDÍA MUNICIPIO DE TUNJA,Tunja,Boyacá,ESTUDIOS_PREVIOS
1386,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-8402933,BOYACÁ - SERVITEATINOSAMACA S.A. E.S.P. - SAMACA,Samacá,Boyacá,ESTUDIOS_PREVIOS
1413,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-11-9921840,BOYACÁ - ALCALDÍA MUNICIPIO DE RONDÓN,Rondón,Boyacá,ESTUDIOS_PREVIOS
1425,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21329,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE CAPARRAPÍ,Caparrapí,Cundinamarca,ESTUDIOS_PREVIOS
1426,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-11-12901274,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE PUERTO SALGAR,Puerto Salgar,Cundinamarca,ESTUDIOS_PREVIOS
1444,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-14903,SANTANDER - ALCALDÍA MUNICIPIO DE SAN VICENTE CHUCURÍ,San Vicente de Chucurí,Santander,ESTUDIOS_PREVIOS
1452,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-41738,BOYACÁ - ALCALDÍA MUNICIPIO DE SAMACÁ,Samacá,Boyacá,ESTUDIOS_PREVIOS
1462,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-218824,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE GAMA,Gama,Cundinamarca,ESTUDIOS_PREVIOS
